day,sleep.qualityDuration,sleep.score,strain.averageHeartRate,strain.score,recovery.heartRateVariabilityRmssd,recovery.restingHeartRate,recovery.score,nap_duration
2020-06-04,,,75,8.74934640798437,,,,0.0
2020-06-05,358.33816666666667,71.0,66,8.80415104465026,0.0275906,44.0,22.0,0.0
2020-06-06,416.58801666666665,78.0,68,11.5925809151106,0.0619463,47.0,44.0,0.0
2020-06-07,473.98768333333334,87.0,64,9.61760176332408,0.0506184,55.0,39.0,0.0
2020-06-08,474.99946666666665,93.0,61,8.55635338359955,0.0466989,46.0,37.0,0.0
2020-06-09,478.0461,97.0,69,9.77931749220904,0.0561,53.0,44.0,0.0
2020-06-10,380.9094166666667,79.0,69,9.2458025580654,0.0763314,43.0,66.0,0.0
2020-06-11,487.03046666666665,94.0,75,12.4304574318168,0.0579254,44.0,52.0,0.0
2020-06-12,356.44375,71.0,69,13.239161182688,0.0643195,55.0,73.0,0.0
2020-06-13,451.60925,82.0,70,11.7423057299139,0.0422226,45.0,43.0,0.0
2020-06-14,420.9995833333333,81.0,68,12.7708177347232,0.0444162,45.0,42.0,0.0
2020-06-15,422.49173333333334,80.0,69,8.92162781782938,0.0659262,50.0,79.0,0.0
2020-06-16,469.5277,91.0,66,10.8147961731378,0.0508473,45.0,55.0,0.0
2020-06-17,423.8713666666667,84.0,66,10.1297697100237,0.0607431,54.0,69.0,0.0
2020-06-18,458.49015,90.0,67,10.2648796358579,0.0500988,44.0,52.0,0.0
2020-06-19,445.9128666666667,89.0,68,10.5456756684013,0.0608754,55.0,70.0,0.0
2020-06-20,401.46018333333336,79.0,74,14.3009334794359,0.0542357,44.0,65.0,0.0
2020-06-21,421.5284,78.0,70,10.5807645030428,0.0687865,43.0,92.0,0.0
2020-06-22,456.614,87.0,70,9.52892446546447,0.0466342,44.0,43.0,0.0
2020-06-23,483.00258333333335,95.0,63,7.03900504523642,0.0547914,44.0,67.0,0.0
2020-06-24,422.97305,88.0,65,10.477921893104,0.0406897,43.0,36.0,0.0
2020-06-25,415.67238333333336,81.0,62,9.43792791153148,0.0451005,44.0,43.0,0.0
2020-06-26,411.00465,80.0,64,7.35103655070528,0.0801496,46.0,93.0,0.0
2020-06-27,409.03141666666664,80.0,75,14.792483690055,0.0426337,55.0,36.0,0.0
2020-06-28,315.3444666666667,58.0,65,8.33276587527711,0.0482396,45.0,43.0,0.0
2020-06-29,407.4433,72.0,65,11.136438115875,0.0356545,48.0,30.0,0.0
2020-06-30,268.3240666666667,50.0,68,9.48730908575396,0.00948872,44.0,4.0,0.0
2020-07-01,473.57011666666665,81.0,68,12.0434744552362,0.056309,44.0,70.0,0.0
2020-07-02,479.57,89.0,64,6.14354996877918,0.0576362,53.0,66.0,0.0
2020-07-03,421.2878333333333,85.0,64,15.7942395919835,0.0671883,43.0,84.0,0.0
2020-07-04,437.41066666666666,80.0,64,7.06749482570755,0.0196129,46.0,19.0,0.0
2020-07-05,425.9561,81.0,75,12.910630914801,0.0453999,41.0,55.0,0.0
2020-07-06,437.3314833333333,81.0,74,14.1388122908868,0.0705043,42.0,88.0,0.0
2020-07-07,480.9823666666667,88.0,64,8.37804253851433,0.0678249,46.0,81.0,0.0
2020-07-08,465.3403,92.0,60,4.45312766852209,0.0565483,44.0,67.0,0.0
2020-07-09,272.39936666666665,56.0,65,7.43781856815239,0.0126539,43.0,10.0,0.0
2020-07-10,426.9356333333333,75.0,66,8.8838150226181,0.0498992,43.0,56.0,0.0
2020-07-11,373.88393333333335,71.0,76,12.7600891489908,0.0643744,43.0,79.0,0.0
2020-07-12,444.11745,81.0,61,8.7960765121491,0.0623629,43.0,77.0,0.0
2020-07-13,494.8903833333333,94.0,64,9.11033098741065,0.0730708,42.0,89.0,0.0
2020-07-14,393.29426666666666,81.0,67,8.57889409377386,0.0513101,51.0,54.0,0.0
2020-07-15,469.10928333333334,89.0,61,4.97771772509067,0.0434887,45.0,50.0,0.0
2020-07-16,474.4858,96.0,65,11.1752286816312,0.0568106,44.0,71.0,0.0
2020-07-17,411.19781666666665,84.0,60,5.65155461673827,0.0981395,44.0,94.0,0.0
2020-07-18,456.99875,89.0,66,7.7482759367058,0.0602502,43.0,70.0,0.0
2020-07-19,447.46773333333334,89.0,59,6.16739430295432,0.0203212,45.0,21.0,0.0
2020-07-20,517.9434833333333,100.0,69,13.487426876575,0.0790849,41.0,95.0,0.0
2020-07-21,496.0128,100.0,58,5.13252609016156,0.050974,56.0,53.0,0.0
2020-07-22,485.21751666666665,100.0,65,8.01766101231864,0.0578573,44.0,66.0,0.0
2020-07-23,477.56486666666666,100.0,65,11.6786951195761,0.0125174,45.0,16.0,0.0
2020-07-24,446.6983666666667,93.0,64,5.98656414402285,0.0454367,45.0,50.0,0.0
2020-07-25,444.95053333333334,92.0,67,9.78852315694668,0.0363596,57.0,37.0,0.0
2020-07-26,442.49721666666665,90.0,61,15.2400174826874,0.0714749,41.0,83.0,0.0
2020-07-27,404.4433333333333,77.0,61,5.49136478918133,0.0467456,44.0,52.0,0.0
2020-07-28,298.2746,58.0,62,8.38620156189113,0.0103675,43.0,11.0,0.0
2020-07-29,417.8383,74.0,70,13.06801764952,0.0856415,51.0,86.0,0.0
2020-07-30,518.5855,95.0,69,8.31580194200765,0.0572004,48.0,63.0,0.0
2020-07-31,407.73308333333335,84.0,62,6.34093559334327,0.0804114,58.0,83.0,0.0
2020-08-01,435.9993,87.0,67,11.1843166320532,0.0317677,55.0,35.0,0.0
2020-08-02,356.39708333333334,69.0,68,9.73055332084886,0.0713326,48.0,74.0,0.0
2020-08-03,473.3284,87.0,66,8.57296075915861,0.060074,41.0,66.0,0.0
2020-08-04,359.8945,71.0,61,7.8335574803841,0.0544797,44.0,56.0,0.0
2020-08-05,445.9789,83.0,67,10.1042748613382,0.0227901,45.0,22.0,0.0
2020-08-06,425.45843333333335,81.0,68,9.94080612943226,0.106324,46.0,94.0,0.0
2020-08-07,514.25315,97.0,71,10.3854965266312,0.102423,53.0,95.0,0.0
2020-08-08,439.8974166666667,91.0,72,12.4918880121138,0.0519394,54.0,49.0,0.0
2020-08-09,514.0608833333333,100.0,65,10.1288732169867,0.0742911,42.0,74.0,0.0
2020-08-10,362.4928,77.0,66,11.6494831018823,0.0466712,47.0,40.0,0.0
2020-08-11,486.5493333333333,91.0,68,14.6331372418285,0.0830372,48.0,76.0,0.0
2020-08-12,459.19685,88.0,57,6.02597743531495,0.0680201,44.0,59.0,0.0
2020-08-13,424.64138333333335,85.0,69,13.7487680373927,0.0744558,44.0,63.0,0.0
2020-08-14,457.17538333333334,87.0,62,7.02027036203456,0.0782057,44.0,70.0,0.0
2020-08-15,445.99358333333333,88.0,63,9.05250751708666,0.0793506,40.0,72.0,0.0
2020-08-16,485.93966666666665,96.0,57,7.11017577290435,0.0251955,40.0,21.0,0.0
2020-08-17,428.04225,89.0,56,7.38501464488933,0.182187,39.0,97.0,0.0
2020-08-18,453.46913333333333,91.0,56,7.24244234136292,0.114352,40.0,91.0,0.0
2020-08-19,418.43356666666665,85.0,61,7.32741942535059,0.0630059,53.0,48.0,0.0
2020-08-20,437.53953333333334,87.0,65,11.2810528827142,0.0875566,46.0,68.0,0.0
2020-08-21,319.82028333333335,63.0,59,7.25565275362868,0.0280274,46.0,19.0,0.0
2020-08-22,482.48965,87.0,72,14.865182087156,0.0533375,46.0,37.0,0.0
2020-08-23,477.0686,89.0,60,8.44230552495134,0.0555148,43.0,47.0,0.0
2020-08-24,461.00745,92.0,61,10.5268073960768,0.0702558,42.0,60.0,0.0
2020-08-25,471.46683333333334,95.0,62,8.51545197018229,0.052586,44.0,46.0,0.0
2020-08-26,418.5293833333333,86.0,57,5.29337573259354,0.0904832,42.0,83.0,0.0
2020-08-27,485.10521666666665,98.0,64,10.8625069524558,0.0596165,46.0,56.0,0.0
2020-08-28,453.5656833333333,94.0,61,9.472526199738,0.112694,53.0,88.0,0.0
2020-08-29,384.47091666666665,79.0,64,9.98147561446257,0.0824496,50.0,67.0,0.0
2020-08-30,415.0330333333333,80.0,57,7.47120494414599,0.0714018,46.0,58.0,14.02105
2020-08-31,447.61403333333334,90.0,68,13.3029619529729,0.107979,39.0,93.0,0.0
2020-09-01,496.1417666666667,96.0,57,6.18466519717794,0.0414701,44.0,30.0,0.0
2020-09-02,511.7194666666667,100.0,62,7.75951681681407,0.092956,45.0,77.0,0.0
2020-09-03,430.9781,92.0,61,10.07516961005,0.0562708,52.0,38.0,0.0
2020-09-04,483.0674666666667,97.0,70,14.1147952487837,0.0822187,43.0,65.0,0.0
2020-09-05,420.4872833333333,84.0,72,14.306992056345,0.0178049,48.0,7.0,28.02541666666667
2020-09-06,426.6797666666667,85.0,76,12.6927492861465,0.0669747,55.0,44.0,20.999483333333334
2020-09-07,439.0316666666667,88.0,58,5.58686210943094,0.0631172,43.0,49.0,24.014966666666666
2020-09-08,412.3533,88.0,67,10.4414901574126,0.0735425,43.0,56.0,0.0
2020-09-09,414.9513,83.0,70,13.2655837670208,0.05883,43.0,46.0,13.52375
2020-09-10,436.497,85.0,58,7.33642940168989,0.0573717,45.0,45.0,25.5234
2020-09-11,459.9029,97.0,64,12.2214413240578,0.0992282,48.0,85.0,0.0
2020-09-12,411.95208333333335,84.0,77,13.9604897457109,0.0327844,58.0,20.0,29.004733333333334
2020-09-13,417.7108666666667,84.0,69,11.5656383364497,0.072846,43.0,63.0,12.977666666666666
2020-09-14,449.05733333333336,89.0,62,6.97182427551179,0.0595557,42.0,49.0,0.0
2020-09-15,460.51241666666664,92.0,52,4.12979785290016,0.0452075,43.0,37.0,0.0
2020-09-16,476.08925,98.0,62,8.05812443625715,0.069589,42.0,63.0,0.0
2020-09-17,445.7838,94.0,67,7.49737254406223,0.0305143,58.0,21.0,0.0
2020-09-18,437.49215,90.0,69,12.8144967864422,0.0628026,42.0,54.0,22.506866666666667
2020-09-19,395.4128333333333,82.0,68,11.286704141947,0.055065,50.0,41.0,0.0
2020-09-20,448.28765,86.0,61,6.85037033857371,0.0587195,55.0,47.0,0.0
2020-09-21,513.6121166666667,100.0,62,9.88922757078416,0.044591,44.0,36.0,0.0
2020-09-22,453.66125,96.0,59,8.33803721820164,0.0722378,43.0,70.0,0.0
2020-09-23,460.03096666666664,96.0,70,13.6035148888026,0.0444776,45.0,35.0,0.0
2020-09-24,469.73721666666665,94.0,66,8.27106540379127,0.0557459,46.0,52.0,0.0
2020-09-25,454.5774666666667,93.0,64,7.4396197217579,0.071525,45.0,72.0,0.0
2020-09-26,443.49115,91.0,71,11.86966380459,0.0488939,58.0,35.0,0.0
2020-09-27,483.0194,96.0,59,7.40846246662146,0.103467,46.0,95.0,0.0
2020-09-28,469.0308166666667,98.0,67,10.3206602204467,0.0802157,50.0,75.0,0.0
2020-09-29,404.9728666666667,84.0,57,7.25480301831854,0.0623408,43.0,53.0,0.0
2020-09-30,458.5543333333333,91.0,75,14.3161234546773,0.051435,46.0,44.0,0.0
2020-10-01,459.0678833333333,89.0,68,9.5088181160152,0.0474401,45.0,39.0,0.0
2020-10-02,385.64213333333333,78.0,64,8.10713031413314,0.0643987,49.0,56.0,0.0
2020-10-03,459.9671,89.0,61,6.85074507524493,0.0461398,56.0,35.0,0.0
2020-10-04,485.57055,99.0,68,6.90011853717508,0.0565991,45.0,54.0,0.0
2020-10-05,484.63995,100.0,62,7.91933652185535,0.0530734,43.0,51.0,25.042316666666668
2020-10-06,467.5064,100.0,59,7.95426350282633,0.0958349,42.0,97.0,0.0
2020-10-07,484.07851666666664,100.0,66,12.2303585423996,0.101806,45.0,97.0,0.0
2020-10-08,481.5925,100.0,64,9.40103782418413,0.0899676,46.0,89.0,0.0
2020-10-09,436.6088833333333,93.0,66,11.515217512415,0.0472852,58.0,40.0,0.0
2020-10-10,397.43373333333335,80.0,73,13.8565014862138,0.0393646,58.0,25.0,0.0
2020-10-11,464.0087,87.0,62,8.07747563121712,0.0704036,48.0,63.0,0.0
2020-10-12,437.01071666666667,88.0,67,9.38310111932436,0.0118107,44.0,11.0,0.0
2020-10-13,456.3249,91.0,55,6.25766366070279,0.0804024,45.0,71.0,0.0
2020-10-14,413.26796666666667,85.0,66,7.37867982293442,0.0782669,51.0,67.0,0.0
2020-10-15,514.3802833333333,100.0,65,8.6357299075423,0.0551041,43.0,46.0,0.0
2020-10-16,383.8449,82.0,59,6.76292083585966,0.0861322,50.0,82.0,0.0
2020-10-17,445.51253333333335,88.0,57,5.19164516800115,0.0569574,46.0,50.0,0.0
2020-10-18,453.32483333333334,92.0,62,7.44258691205023,0.0675039,49.0,57.0,0.0
2020-10-19,476.07343333333336,97.0,57,6.28855390925302,0.0945811,46.0,89.0,0.0
2020-10-20,453.98376666666667,96.0,55,4.35018995677538,0.0747854,49.0,62.0,17.51835
2020-10-21,320.3833666666667,70.0,65,10.3133092052496,0.0365849,56.0,12.0,22.025583333333334
2020-10-22,453.48533333333336,87.0,61,8.39950429918953,0.0553312,52.0,42.0,0.0
2020-10-23,328.8691333333333,66.0,67,8.39090149615604,0.0508879,51.0,30.0,26.998816666666666
2020-10-24,462.8388,89.0,61,9.66400865526779,0.0396495,53.0,22.0,0.0
2020-10-25,469.04625,93.0,64,8.64371756415974,0.0429425,48.0,36.0,0.0
2020-10-26,472.4959666666667,96.0,56,5.18161338014618,0.0255897,43.0,21.0,0.0
2020-10-27,479.1861,100.0,69,8.23255327116862,0.052,44.0,51.0,0.0
2020-10-28,468.3079833333333,100.0,58,4.89722247929639,0.074545,54.0,80.0,0.0
2020-10-29,475.54475,100.0,62,5.12964589783378,0.0110343,46.0,13.0,0.0
2020-10-30,411.51893333333334,89.0,65,9.42169315599842,0.0686012,42.0,75.0,0.0
2020-10-31,155.19345,31.0,66,9.83365680229976,0.0323552,46.0,22.0,0.0
2020-11-01,427.31995,86.0,67,9.05944958308953,0.0570637,46.0,62.0,0.0
2020-11-02,411.5019833333333,82.0,68,12.757596795658,0.064147,45.0,64.0,0.0
2020-11-03,464.4100833333333,88.0,58,7.38308832967685,0.0607231,52.0,57.0,0.0
2020-11-04,434.9556166666667,88.0,63,7.23337504644797,0.0309945,45.0,28.0,0.0
2020-11-05,363.79305,74.0,52,4.470698209430412,0.0398381,43.0,35.0,23.00415
